id|authority_id|name|publisher_id|place|url|machine_name|sort_name|identifier|type
1649|1649|Health Affairs|2072|||health affairs|health affairs|0278-2715|ISSN
2170|77|Synlett|2369|||synlett|synlett|0936-5214|ISSN
2171|77|Synlett|2369|||synlett|synlett|0936-5214|ISSN
1650|642|American Book Review|74|||american book review|american book review|0149-9408|ISSN
215|215|Environmental Entomology|405|||environmental entomology|environmental entomology|0046-225X|ISSN
1718|1719|Unknown (2329-0390 ; 2329-0382)|1|||unknown 2329 0390 2329 0382|unknown 2329 0390 2329 0382|2329-0382|ISSN
1709|627|IEEE Transactions on Biomedical Engineering|103|||ieee transactions on biomedical engineering|ieee transactions on biomedical engineering|0018-9294|ISSN
337|14|Journal of chemical education|711|||journal of chemical education|journal of chemical education|0021-9584|ISSN
1959|14|Journal of Chemical Education|711|||journal of chemical education|journal of chemical education|0021-9584|ISSN
539|539|Philosophical Writings|2943|||philosophical writings|philosophical writings|1361-9365|ISSN
974|974|Register of the Kentucky Historical Society|2905|||register of the kentucky historical society|register ofkentucky historical society|2161-0355|ISSN
1440|1440|Virginia Economic Journal|2798|||virginia economic journal|virginia economic journal|1085-1046|ISSN
78|78|Harrington Gay Men's Literary Quarterly|573|||harrington gay men s literary quarterly|harrington gay men s literary quarterly|1556-9241|ISSN
1374|274|Animal Behaviour|1279|||animal behaviour|animal behaviour|0003-3472|ISSN
1565|1321|Archives of Sexual Behavior|2308|||archives of sexual behavior|archives of sexual behavior|0004-0002|ISSN
2139|1588|Biological Conservation|416|||biological conservation|biological conservation|0006-3207|ISSN
353|1676|Business horizons|1276|||business horizons|business horizons|0007-6813|ISSN
1697|1676|Unknown (0007-6813)|1|||unknown 0007 6813|unknown 0007 6813|0007-6813|ISSN
2035|217|Ecology|592|||ecology|ecology|0012-9658|ISSN
2066|35|Endocrinology|1290|||endocrinology|endocrinology|0013-7227|ISSN
1479|798|International Journal of Heat and Mass Transfer|1276|||international journal of heat and mass transfer|international journal of heat and mass transfer|0017-9310|ISSN
2087|913|Hispanófila|2958|||hispan fila|hispan fila|0018-2206|ISSN
1590|244|Hormones and behavior|1276|||hormones and behavior|hormones and behavior|0018-506X|ISSN
964|333|IEEE Journal of Quantum Electronics|1527|||ieee journal of quantum electronics|ieee journal of quantum electronics|0018-9197|ISSN
1851|333|IEEE Journal of Quantum Electronics|103|||ieee journal of quantum electronics|ieee journal of quantum electronics|0018-9197|ISSN
1872|333|IEEE Journal of Quantum Electronics|103|||ieee journal of quantum electronics|ieee journal of quantum electronics|0018-9197|ISSN
991|813|Journal of Economic History|409|||journal of economic history|journal of economic history|0022-0507|ISSN
803|803|Electronic Journal of Linear Algebra|2853|||electronic journal of linear algebra|electronic journal of linear algebra|1081-3810|ISSN
742|742|Geomorphology|1276|||geomorphology|geomorphology|0169-555X|ISSN
1272|1272|A broken flute : the Native experience in books for children|14|||a broken flute the native experience in books for children|broken flutenative experience in books for children|9780759107793|ISBN13
