id|authority_id|name|url|machine_name|sort_name
1|3108|Unknown||unknown|unknown
2|1184|De Gruyter||de gruyter|de gruyter
4|573|Taylor & Francis||taylor francis|taylor francis
5|5|Rowman & Littlefield|http://www.rowmanlittlefield.com/|rowman littlefield|rowman littlefield
6|406|Cambridge University Press||cambridge university press|cambridge university press
7|7|Press 53||press 53|press 53
8|8|Poetry Daily||poetry daily|poetry daily
9|9|JAI Press||jai press|jai press
10|10|Oxford University Press (OUP)|http://www.oxfordjournals.org/|oxford university press oup|oxford university press oup
11|11|Springer Verlag|http://www.springer.com|springer verlag|springer verlag
12|389|Association of College and Research Libraries||association of college and research libraries|association of college and research libraries
13|13|Pembroke Music||pembroke music|pembroke music
14|14|AltaMira Press|https://rowman.com/Altamira|altamira press|altamira press
15|15|Aarhus University||aarhus university|aarhus university
16|16|SIT Study Abroad||sit study abroad|sit study abroad
17|17|Michigan State University Press|http://msupress.org/|michigan state university press|michigan state university press
18|17|Michigan State University Pres||michigan state university pres|michigan state university pres
19|19|UNU-WIDER||unu wider|unu wider
20|20|Social Science Electronic Publishing, Inc.||social science electronic publishing inc|social science electronic publishing inc
21|21|Tokyo Shoseki Co.||tokyo shoseki co|tokyo shoseki co
22|436|IEEE||ieee|ieee
23|872|ACM||acm|acm
24|24|Vosbein, Terry||vosbein terry|vosbein terry
25|197|McFarland & Co.||mcfarland co|mcfarland co
26|26|M. Frank Music||m frank music|m frank music
27|27|SPIE||spie|spie
28|28|Academic Press|http://store.elsevier.com/Academic-Press/IMP_5/|academic press|academic press
29|29|Kangaroo Productions LLC||kangaroo productions llc|kangaroo productions llc
30|710|American Chemical Society||american chemical society|american chemical society
31|69|AAAI Press||aaai press|aaai press
32|11|Springer Berlin Heidelberg||springer berlin heidelberg|springer berlin heidelberg
33|33|IEEE Service Center||ieee service center|ieee service center
34|34|State University of New York Press||state university of new york press|state university of new york press
35|35|University of Georgia Press|http://uga.edu/|university of georgia press|university of georgia press
36|36|ISI Books||isi books|isi books
37|37|University Press of Florida||university press of florida|university press of florida
38|698|American Association of Petroleum Geologists||american association of petroleum geologists|american association of petroleum geologists
39|210|Wiley-Blackwell||wiley blackwell|wiley blackwell
40|40|Birmingham Poetry Review||birmingham poetry review|birmingham poetry review
41|41|Camden House||camden house|camden house
42|42|WORLD SCIENTIFIC||world scientific|world scientific
43|1184|De Gruyter||de gruyter|de gruyter
44|44|Library Journals, Llc.||library journals llc|library journals llc
45|360|Routledge||routledge|routledge
46|46|University of Houston, University Libraries||university of houston university libraries|university of houston university libraries
47|47|The Johns Hopkins University Press||the johns hopkins university press|johns hopkins university press
48|48|University of Virginia Press||university of virginia press|university of virginia press
49|227|SAGE Publications||sage publications|sage publications
50|50|PLOS||plos|plos
51|1130|Common Ground Publishing||common ground publishing|common ground publishing
52|52|University of Utah Press||university of utah press|university of utah press
53|53|Intercollegiate Studies Institute||intercollegiate studies institute|intercollegiate studies institute
54|54|Tuttle Publishing||tuttle publishing|tuttle publishing
55|210|Wiley-Blackwell||wiley blackwell|wiley blackwell
56|69|AAAI Press||aaai press|aaai press
57|607|ABC Journals||abc journals|abc journals
58|58|Asian Business Consortium||asian business consortium|asian business consortium
59|684|American Accounting Association||american accounting association|american accounting association
60|60|Emerald||emerald|emerald
61|11|Springer Netherlands||springer netherlands|springer netherlands
62|62|Akademiai Kiado Rt.||akademiai kiado rt|akademiai kiado rt
63|63|Univerzita Komenskeho, Fakulta Matematiky, Fyziky a Informatiky||univerzita komenskeho fakulta matematiky fyziky a informatiky|univerzita komenskeho fakulta matematiky fyziky a informatiky
64|418|Elsevier Inc.||elsevier inc|elsevier inc
65|65|Sports Literature Association||sports literature association|sports literature association
66|66|African American Review||african american review|african american review
67|210|Wiley-Blackwell Publishing Ltd.||wiley blackwell publishing ltd|wiley blackwell publishing ltd
68|68|Agni Review, Inc.|http://www.bu.edu/agni/|agni review inc|agni review inc
69|69|AAAI Press||aaai press|aaai press
70|732|American Institute of Aeronautics and Astronautics, Inc.||american institute of aeronautics and astronautics inc|american institute of aeronautics and astronautics inc
71|71|Akademeia Journal Ltd.||akademeia journal ltd|akademeia journal ltd
72|3026|Berkley||berkley|berkley
73|210|Wiley-Blackwell Publishing, Inc.||wiley blackwell publishing inc|wiley blackwell publishing inc
74|74|University of Houston at Victoria, School of Arts & Sciences||university of houston at victoria school of arts sciences|university of houston at victoria school of arts sciences
75|723|American Economic Association||american economic association|american economic association
76|3157|Salem Pr Inc||salem pr inc|salem pr inc
77|77|University of California, Los Angeles, American Indian Studies Center||university of california los angeles american indian studies center|university of california los angeles american indian studies center
78|2663|University of Nebraska Press||university of nebraska press|university of nebraska press
79|824|Archaeological Institute of America (Boston)||archaeological institute of america boston|archaeological institute of america boston
80|994|Botanical Society of America, Inc.||botanical society of america inc|botanical society of america inc
81|2037|P N G Publications||p n g publications|p n g publications
82|227|Sage Publications, Inc.||sage publications inc|sage publications inc
83|83|A I P Publishing LLC||a i p publishing llc|a i p publishing llc
84|747|American Physiological Society||american physiological society|american physiological society
85|85|03636119||03636119|03636119
86|86|International Scientific Communications, Inc.||international scientific communications inc|international scientific communications inc
87|2985|University of North Texas * Creative Writing Program||university of north texas creative writing program|university of north texas creative writing program
88|1800|Mathematical Association of America||mathematical association of america|mathematical association of america
89|89|Duke University Press|http://www.dukeupress.edu/|duke university press|duke university press
90|2879|Charles Scribners & Sons||charles scribners sons|charles scribners sons
91|91|University Of Chicago Press||university of chicago press|university of chicago press
92|2801|Ashgate Pub Co||ashgate pub co|ashgate pub co
93|11|Springer New York LLC||springer new york llc|springer new york llc
94|94|Poetry Atlanta, Inc.||poetry atlanta inc|poetry atlanta inc
95|95|Wilson Center||wilson center|wilson center
96|96|Del Rey||del rey|del rey
97|97|Nierika Editions||nierika editions|nierika editions
98|98|Society of Spanish and Spanish-American Studies||society of spanish and spanish american studies|society of spanish and spanish american studies
99|3221|Peter Lang International Academic Publishers||peter lang international academic publishers|peter lang international academic publishers
100|100|Universitaetsverlag Winter GmbH||universitaetsverlag winter gmbh|universitaetsverlag winter gmbh
101|101|00033472||00033472|00033472
102|418|Elsevier Ltd||elsevier ltd|elsevier ltd
103|103|Institute of Electrical and Electronics Engineers (IEEE)||institute of electrical and electronics engineers ieee|institute of electrical and electronics engineers ieee
104|104|Universidad Camilo Jose Cela||universidad camilo jose cela|universidad camilo jose cela
105|105|International Journal of Instructional Technology and Distance Learning||international journal of instructional technology and distance learning|international journal of instructional technology and distance learning
106|106|University of North Carolina Press|http://www.uncpress.unc.edu|university of north carolina press|university of north carolina press
107|107|Brill||brill|brill
108|108|Pergamon Press||pergamon press|pergamon press
109|11|Springer||springer|springer
110|110|Society for Post-Critical and Personalist Studies||society for post critical and personalist studies|society for post critical and personalist studies
111|205|Washington and Lee University, Laboratory of Anthropology||washington and lee university laboratory of anthropology|washington and lee university laboratory of anthropology
112|112|Archetype Books||archetype books|archetype books
113|113|Oxford Bibliographies Online||oxford bibliographies online|oxford bibliographies online
114|114|Austin Peay State University, Center for the Creative Arts||austin peay state university center for the creative arts|austin peay state university center for the creative arts
115|115|Zyzzyva, Inc.||zyzzyva inc|zyzzyva inc
116|116|Brepols Publishers||brepols publishers|brepols publishers
